Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,IN Square 2 Count 5,50,10,20,60,60
erlang,IN Square 2 Count 5,50,15,1,60,60
erlang,IN Square 2 Count 5,50,15,5,60,60
erlang,IN Square 2 Count 5,50,15,10,60,60
erlang,IN Square 2 Count 5,50,15,15,60,60
erlang,IN Square 2 Count 5,50,15,20,60,60
erlang,IN Square 2 Count 5,50,20,1,60,60
erlang,IN Square 2 Count 5,50,20,5,60,60
erlang,IN Square 2 Count 5,50,20,10,60,60
erlang,IN Square 2 Count 5,50,20,15,60,60
erlang,IN Square 2 Count 5,50,20,20,60,60
erlang,IN Square 2 Count 8,10,10,1,60,60
erlang,IN Square 2 Count 8,10,10,5,60,56
erlang,IN Square 2 Count 8,10,10,10,60,54
erlang,IN Square 2 Count 8,10,10,15,60,54
erlang,IN Square 2 Count 8,10,10,20,60,50
erlang,IN Square 2 Count 8,10,15,1,8,8
erlang,IN Square 2 Count 8,10,15,5,6,9
erlang,IN Square 2 Count 8,10,15,10,8,11
erlang,IN Square 2 Count 8,10,15,15,5,6
erlang,IN Square 2 Count 8,10,15,20,3,5
erlang,IN Square 2 Count 8,10,20,1,1,1
erlang,IN Square 2 Count 8,10,20,5,1,2
erlang,IN Square 2 Count 8,10,20,10,1,1
erlang,IN Square 2 Count 8,10,20,15,1,1
erlang,IN Square 2 Count 8,10,20,20,1,1
erlang,IN Square 2 Count 8,15,10,1,60,60
erlang,IN Square 2 Count 8,15,10,5,60,60
erlang,IN Square 2 Count 8,15,10,10,60,60
erlang,IN Square 2 Count 8,15,10,15,60,60
erlang,IN Square 2 Count 8,15,10,20,60,60
erlang,IN Square 2 Count 8,15,15,1,60,57
erlang,IN Square 2 Count 8,15,15,5,60,60
erlang,IN Square 2 Count 8,15,15,10,60,60
erlang,IN Square 2 Count 8,15,15,15,60,57
erlang,IN Square 2 Count 8,15,15,20,60,50
erlang,IN Square 2 Count 8,15,20,1,60,47
erlang,IN Square 2 Count 8,15,20,5,60,51
erlang,IN Square 2 Count 8,15,20,10,60,56
erlang,IN Square 2 Count 8,15,20,15,44,39
erlang,IN Square 2 Count 8,15,20,20,17,23
erlang,IN Square 2 Count 8,20,10,1,60,60
erlang,IN Square 2 Count 8,20,10,5,60,60
erlang,IN Square 2 Count 8,20,10,10,60,60
erlang,IN Square 2 Count 8,20,10,15,60,60
erlang,IN Square 2 Count 8,20,10,20,60,60
erlang,IN Square 2 Count 8,20,15,1,60,60
erlang,IN Square 2 Count 8,20,15,5,60,60
erlang,IN Square 2 Count 8,20,15,10,60,60
erlang,IN Square 2 Count 8,20,15,15,60,60
erlang,IN Square 2 Count 8,20,15,20,60,60
erlang,IN Square 2 Count 8,20,20,1,60,60
erlang,IN Square 2 Count 8,20,20,5,60,60
erlang,IN Square 2 Count 8,20,20,10,60,60
erlang,IN Square 2 Count 8,20,20,15,60,60
erlang,IN Square 2 Count 8,20,20,20,60,59
erlang,IN Square 2 Count 8,50,10,1,60,60
erlang,IN Square 2 Count 8,50,10,5,60,60
erlang,IN Square 2 Count 8,50,10,10,60,60
erlang,IN Square 2 Count 8,50,10,15,60,60
erlang,IN Square 2 Count 8,50,10,20,60,60
erlang,IN Square 2 Count 8,50,15,1,60,60
erlang,IN Square 2 Count 8,50,15,5,60,60
erlang,IN Square 2 Count 8,50,15,10,60,60
erlang,IN Square 2 Count 8,50,15,15,60,60
erlang,IN Square 2 Count 8,50,15,20,60,60
erlang,IN Square 2 Count 8,50,20,1,60,60
erlang,IN Square 2 Count 8,50,20,5,60,60
erlang,IN Square 2 Count 8,50,20,10,60,60
erlang,IN Square 2 Count 8,50,20,15,60,60
erlang,IN Square 2 Count 8,50,20,20,60,60
